EachIncidenceAngle,HH_Sigma,HH_Gamma,HV_Sigma,HV_Gamma,VV_Sigma,VV_Gamma
22,-2.992962829,-6.615435064,-9.430951487,-13.01029996,-3.0980392,-6.038006529
22.5,-3.133637307,-6.675615401,-9.393021596,-12.83996656,-3.269790929,-6.143937264
23,-3.160528692,-6.615435064,-9.430951487,-12.83996656,-3.381873145,-6.179829574
23.5,-3.124710388,-6.497519817,-9.546770212,-12.83996656,-3.48721986,-6.216020991
24,-3.160528692,-6.458915609,-9.625735021,-12.92429824,-3.645162532,-6.32644079
24.5,-3.205721034,-6.42065153,-9.706162223,-12.92429824,-3.79863945,-6.401645177
25,-3.178549236,-6.32644079,-9.706162223,-12.83996656,-3.914739664,-6.458915609
25.5,-3.187587626,-6.25251654,-9.746941347,-12.7572413,-4.023048141,-6.51695137
26,-3.381873145,-6.38272164,-9.871627753,-12.83996656,-4.202164034,-6.635402662
26.5,-3.506651413,-6.42065153,-10.04364805,-12.92429824,-4.388986164,-6.757175447
27,-3.526170299,-6.38272164,-10.22276395,-13.01029996,-4.559319556,-6.882461389
27.5,-3.575354798,-6.345120151,-10.36212173,-13.0980392,-4.698003018,-6.946486306
28,-3.767507096,-6.478174819,-10.50609993,-13.18758763,-4.88116639,-7.077439286
28.5,-4.001169279,-6.635402662,-10.70581074,-13.27902142,-5.128616245,-7.258421507
29,-4.023048141,-6.595558852,-10.70581074,-13.27902142,-5.243288117,-7.328282716
29.5,-3.872161433,-6.38272164,-10.60480747,-13.0980392,-5.185573715,-7.21246399
30,-3.946949539,-6.38272164,-10.55517328,-13.01029996,-5.243288117,-7.235381958
30.5,-4.134126953,-6.51695137,-10.65501549,-13.01029996,-5.4668166,-7.39928612
31,-4.06713933,-6.38272164,-10.65501549,-12.92429824,-5.436339669,-7.328282716
31.5,-4.034029044,-6.289321377,-10.70581074,-12.92429824,-5.4668166,-7.304870558
32,-4.156687756,-6.363880201,-10.80921908,-13.01029996,-5.63837353,-7.423214251
32.5,-4.236586498,-6.38272164,-10.86186148,-13.01029996,-5.71865206,-7.447274949
33,-4.16801226,-6.25251654,-10.96910013,-13.01029996,-5.734887386,-7.423214251
33.5,-4.282911682,-6.307841426,-11.13509275,-13.0980392,-5.867002359,-7.495799977
34,-4.522252946,-6.497519817,-11.24938737,-13.18758763,-6.055483192,-7.644715531
34.5,-4.634415574,-6.556077263,-11.3076828,-13.18758763,-6.126101737,-7.670038896
35,-4.723700991,-6.575773192,-11.3076828,-13.18758763,-6.143937264,-7.644715531
35.5,-4.74955193,-6.556077263,-11.3667714,-13.18758763,-6.108339156,-7.569619513
36,-4.775557665,-6.536470255,-11.48741651,-13.27902142,-6.197887583,-7.619538969
36.5,-4.948500217,-6.635402662,-11.73925197,-13.37242168,-6.345120151,-7.721132954
37,-5.100415206,-6.757175447,-11.80456064,-13.46787486,-6.439741428,-7.772835289
37.5,-5.044556625,-6.635402662,-11.73925197,-13.27902142,-6.458915609,-7.746907183
38,-5.003129174,-6.556077263,-11.61150909,-13.0980392,-6.42065153,-7.670038896
38.5,-5.171264164,-6.655462488,-11.61150909,-13.0980392,-6.478174819,-7.670038896
39,-5.243288117,-6.675615401,-11.61150909,-13.01029996,-6.51695137,-7.695510786
39.5,-5.003129174,-6.401645177,-11.5490196,-12.92429824,-6.363880201,-7.495799977
40,-5.016894462,-6.363880201,-11.5490196,-12.92429824,-6.32644079,-7.423214251
40.5,-5.228787453,-6.536470255,-11.67491087,-12.92429824,-6.458915609,-7.520267336
41,-5.257837359,-6.497519817,-11.73925197,-13.01029996,-6.556077263,-7.569619513
41.5,-5.214335044,-6.42065153,-11.93820026,-13.0980392,-6.615435064,-7.594507517
42,-5.331323796,-6.478174819,-12.07608311,-13.18758763,-6.757175447,-7.695510786
42.5,-5.421181033,-6.536470255,-12.07608311,-13.18758763,-6.840296545,-7.746907183
43,-5.4515514,-6.51695137,-12.14670165,-13.18758763,-6.840296545,-7.721132954
43.5,-5.559552041,-6.595558852,-12.14670165,-13.18758763,-6.903698326,-7.721132954
44,-5.4515514,-6.42065153,-12.14670165,-13.0980392,-6.840296545,-7.644715531
44.5,-5.228787453,-6.16184634,-12.00659451,-12.92429824,-6.695862267,-7.447274949
45,-5.128616245,-6.020599913,-12.00659451,-12.83996656,-6.675615401,-7.39928612
